"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AUM00011155","2001-03","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","30","1,","","","","","","","","","","","","","1400","1,,S,06,","","","","","","","","","","","","","","","",""
"AUM00011155","2001-04","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","28","2,","","","","","","","","","","","","","1120","2,,S,23,","","","","","","","","","","","","","","","",""
"AUM00011155","2001-05","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","3,S","0","3,S","0","3,S","","","","","","","17.8","3,S,17,+","","","","","","","","","12.88","3,,,S","",""
"AUM00011155","2001-07","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","5,S","3","5,S","0","5,S","","","","","","","22.7","5,S,07,","","","","","","","","","15.68","5,,,S","",""
"AUM00011155","2002-01","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","28","3,","","","","","","","","","","","","","1750","3,,S,17,+","","","","","","","","","","","","","","","",""
"AUM00011155","2002-02","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","24","4,","","","","","","","","","","","","","1750","4,,S,28,","","","","","","","","","","","","","","","",""
"AUM00011155","2002-08","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","2,S","0","2,S","0","2,S","","","","","","","20.1","2,S,26,","","","","","","","","","14.80","2,,,S","",""
"AUM00011155","2003-02","47.817","13.717","1620.1","FEUERKOGEL, AU","","","9","4,S","6","4,S","0","4,S","25","3,","","","","","16","4,S","0","4,S","0","4,S","","","1549","3,,S,09,","21.1","4,,S,08,","6.7","4,S,26,","","","","","63.8","4,,,S","","","-3.14","4,,,S","",""
"AUM00011155","2003-05","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","5,S","2","5,S","0","5,S","","","","","","","23.4","5,S,06,","","","","","","","","","13.08","5,,,S","",""
"AUM00011155","2003-06","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","2,S","7","2,S","0","2,S","","","","","","","24.8","2,S,23,","","","","","","","","","18.13","2,,,S","",""
"AUM00011155","2003-07","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","2,S","4","2,S","0","2,S","","","","","","","24.1","2,S,27,","","","","","","","","","16.07","2,,,S","",""
"AUM00011155","2003-08","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","2,S","12","2,S","0","2,S","","","","","","","25.9","2,S,13,","","","","","","","","","19.89","2,,,S","",""
"AUM00011155","2003-09","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","5,S","0","5,S","0","5,S","","","","","","","20.0","5,S,22,","","","","","","","","","12.29","5,,,S","",""
"AUM00011155","2004-02","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","24","5,","","","","","","","","","","","","","1849","5,,S,01,","","","","","","","","","","","","","","","",""
"AUM00011155","2004-03","47.817","13.717","1620.1","FEUERKOGEL, AU","","","12","5,S","10","5,S","1","5,S","","","","","","","","","","","","","","","","","26.9","5,,S,25,","","","","","","","121.0","5,,,S","","","","","",""
"AUM00011155","2004-04","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","28","2,","","","","","","","","","","","","","1621","2,,S,01,","","","","","","","","","","","","","","","",""
"AUM00011155","2004-05","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","1","4,S","0","4,S","0","4,S","","","","","","","15.9","4,S,20,","","","","","","","","","7.75","4,,,S","",""
"AUM00011155","2004-06","47.817","13.717","1620.1","FEUERKOGEL, AU","","","14","5,S","14","5,S","4","5,S","","","","","","","","","","","","","","","","","45.0","5,,S,03,","","","","","","","275.1","5,,,S","","","","","",""
"AUM00011155","2004-07","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","5,S","1","5,S","0","5,S","","","","","","","22.0","5,S,20,","","","","","","","","","14.53","5,,,S","",""
"AUM00011155","2004-08","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","4,S","0","4,S","0","4,S","","","","","","","20.6","4,S,12,","","","","","","","","","16.10","4,,,S","",""
"AUM00011155","2004-09","47.817","13.717","1620.1","FEUERKOGEL, AU","","","11","5,S","11","5,S","3","5,S","","","","","","","","","","","","","","","","","84.1","5,,S,23,","","","","","","","210.0","5,,,S","","","","","",""
"AUM00011155","2006-05","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","1","4,S","0","4,S","0","4,S","","","","","","","18.4","4,S,22,","","","","","","","","","9.78","4,,,S","",""
"AUM00011155","2006-06","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","0","5,S","2","5,S","0","1,S","5","1,S","0","1,S","-2.4","5,S,02,","","","","","24.1","1,S,21,","","","","","","","11.41","6,S","14.49","1,,,S","8.34","5,,,S"
"AUM00011155","2006-07","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","1,S","11","1,S","0","1,S","","","","","","","24.5","1,S,21,","","","","","","","","","19.20","1,,,S","",""
"AUM00011155","2006-08","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","3,S","0","3,S","0","3,S","","","","","","","20.7","3,S,17,","","","","","","","","","11.87","3,,,S","",""
"AUM00011155","2006-09","47.817","13.717","1620.1","FEUERKOGEL, AU","0.5","5,S","","","","","","","","","0","5,S","0","5,S","0","2,S","1","2,S","0","2,S","3.7","5,S,09,","","","","","22.3","2,S,07,","","","132.7","2,S","","","12.99","5,S","15.84","2,,,S","10.14","5,,,S"
"AUM00011155","2006-10","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","4,S","0","4,S","0","4,S","","","","","","","21.0","4,S,26,","","","","","","","","","12.83","4,,,S","",""
"AUM00011155","2007-05","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","2,S","0","2,S","0","2,S","","","","","","","20.1","2,S,21,","","","","","","","","","12.00","2,,,S","",""
"AUM00011155","2007-06","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","1,S","2","1,S","0","1,S","","","","","","","22.2","1,S,20,","","","","","","","","","15.08","1,,,S","",""
"AUM00011155","2007-08","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","4,S","0","4,S","0","4,S","","","","","","","20.7","4,S,15,","","","","","","","","","15.05","4,,,S","",""
"AUM00011155","2008-05","47.817","13.717","1620.1","FEUERKOGEL, AU","3.3","5,S","","","","","","","","","0","5,S","3","5,S","0","2,S","4","2,S","0","2,S","-0.7","5,S,01,","","","","","24.0","2,S,29,","","","258.2","2,S","","","8.58","5,S","11.56","2,,,S","5.61","5,,,S"
"AUM00011155","2008-06","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","3,S","2","3,S","0","3,S","","","","","","","23.2","3,S,25,","","","","","","","","","14.47","3,,,S","",""
"AUM00011155","2008-07","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","4,S","1","4,S","0","4,S","","","","","","","21.1","4,S,03,","","","","","","","","","15.22","4,,,S","",""
"AUM00011155","2008-08","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","3,S","3","3,S","0","3,S","","","","","","","23.1","3,S,12,","","","","","","","","","15.85","3,,,S","",""
"AUM00011155","2008-09","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","1","5,S","1","5,S","0","5,S","","","","","","","23.0","5,S,06,","","","","","","","","","10.21","5,,,S","",""
"AUM00011155","2008-12","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","28","3,","","","","","","","","","","","","","879","3,,S,29,+","","","","","","","","","","","","","","","",""
"AUM00011155","2009-02","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","24","4,","","","","","","","","","","","","","2499","4,,S,25,+","","","","","","","","","","","","","","","",""
"AUM00011155","2009-04","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","0","5,S","5","5,S","0","3,S","0","3,S","0","3,S","-2.7","5,S,23,","","","","","11.5","3,S,16,+","","","","","","","6.36","7,S","9.27","3,,,S","3.46","5,,,S"
"AUM00011155","2009-05","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","4,S","1","4,S","0","4,S","","","","","","","22.1","4,S,26,","","","","","","","","","11.50","4,,,S","",""
"AUM00011155","2009-06","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","0","5,S","0","5,S","0","2,S","0","2,S","0","2,S","1.5","5,S,04,","","","","","18.8","2,S,14,","","","","","","","8.82","6,S","11.97","2,,,S","5.66","5,,,S"
"AUM00011155","2009-07","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","3,S","3","3,S","0","3,S","","","","","","","27.8","3,S,23,","","","","","","","","","16.28","3,,,S","",""
"AUM00011155","2009-08","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","3,S","3","3,S","0","3,S","","","","","","","22.0","3,S,21,+","","","","","","","","","17.06","3,,,S","",""
"AUM00011155","2009-09","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","0","3,S","0","3,S","0","3,S","0","3,S","0","3,S","1.8","3,S,05,","","","","","19.8","3,S,01,","","","","","","","10.28","6,S","12.70","3,,,S","7.86","3,,,S"
"AUM00011155","2009-12","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","27","3,","","","","","","","","","","","","","470","3,,S,20,","","","","","","","","","","","","","","","",""
"AUM00011155","2011-01","47.817","13.717","1620.1","FEUERKOGEL, AU","","","13","4,S","11","4,S","2","4,S","30","1,","","","","","12","4,S","0","4,S","0","4,S","","","950","1,,S,27,","74.9","4,,S,13,","10.0","4,S,17,","","","","","182.1","4,,,S","","","-0.11","4,,,S","",""
