"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00023043","1912-11","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","736.8","0","0.0",",0","2",",0","1",",0","0",",0","","","0",",0","0",",0","22",",0","0",",0","7",",0","0",",0","","","","","","","-9.4",",0,28,","","","0",",,0,30,+","9.1",",,0,16,","25.6",",0,10,+","","","508.8","0","329.6",",0","10.9",",,,0","","","0",",,,0","7.35",",0","16.83",",,,0","-2.14",",,,0","","","","","","","","","","","",""
"USW00023043","1912-12","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","736.8","0","0.0","1,0","4",",0","2",",0","0",",0","","","2",",0","3","1,0","28","1,0","3",",0","0",",0","0",",0","","","","","","","-18.9","1,0,24,","","","152",",,0,06,","14.7",",,0,06,","20.0",",0,14,","","","1027.1","0","518.3",",0","27.9",",,,0","","","299",",,,0","1.17","1,0","8.98",",,,0","-6.63","1,,,0","","","","","","","","","","","",""
"USW00023043","1913-01","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0",",0","2",",0","2",",0","0",",0","","","1",",0","3",",0","28",",0","5",",0","1",",0","0",",0","","","","","","","-28.3",",0,08,","","","163",",,0,06,","12.2",",,0,06,","23.3",",0,04,","","","1547.2","0","520.1",",0","15.2",",,,0","","","178",",,,0","1.55",",0","10.21",",,,0","-7.10",",,,0","","","","","","","","","","","",""
"USW00023043","1913-02","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0",",0","3",",0","1",",0","0",",0","","","1",",0","0",",0","22",",0","2",",0","3",",0","0",",0","","","","","","","-12.2",",0,08,","","","132",",,0,07,","11.7",",,0,07,","22.2",",0,18,","","","1925.6","0","378.4",",0","14.0",",,,0","","","140",",,,0","4.82",",0","12.74",",,,0","-3.10",",,,0","","","","","","","","","","","",""
"USW00023043","1913-03","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0",",0","3",",0","2",",0","0",",0","","","0",",0","0",",0","14",",0","0",",0","9",",0","0",",0","","","","","","","-7.2",",0,27,+","","","0",",,0,31,+","13.0",",,0,09,","30.6",",0,30,","","","2221.9","0","296.3",",0","18.9",",,,0","","","0",",,,0","8.78",",0","17.75",",,,0","-0.20",",,,0","","","","","","","","","","","",""
"USW00023043","1913-04","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","","","","","","","","","","","0",",0","0",",","8",",0","","","","","","","","","","","","","-2.8",",0,11,","","","0",",,0,30,+","","","","","","","","","","","","","","","0",",,,0","","","","","4.37",",,,0","","","","","","","","","","","",""
"USW00023043","1913-05","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","","","","","","","","","","","0","1,0","0","4,","7","4,0","","","","","","","","","","","","","-2.8","4,0,11,","","","0","1,,0,31,+","","","","","","","","","","","","","","","0","1,,,0","","","","","4.65","4,,,0","","","","","","","","","","","",""
"USW00023043","1913-06","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","123.7",",0","11",",0","9",",0","1",",0","","","0",",0","0",",0","0",",0","0",",0","29",",0","9",",0","","","","","","","12.8",",0,06,","","","0",",,0,30,+","25.4",",,0,11,","34.4",",0,26,+","","","","","1.1",",0","105.8",",,,0","","","0",",,,0","22.42",",0","29.43",",,,0","15.41",",,,0","","","","","","","","","","","",""
"USW00023043","1913-07","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","232.0",",0","4",",0","2",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","31",",0","25",",0","","","","","","","14.4",",0,27,","","","0",",,0,31,+","10.2",",,0,20,","39.4",",0,11,","","","0.0","0","0.0",",0","20.9",",,,0","","","0",",,,0","25.82",",0","33.76",",,,0","17.87",",,,0","","","","","","","","","","","",""
"USW00023043","1913-09","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","57.8",",0","8",",0","6",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","27",",0","3",",0","","","","","","","3.3",",0,28,","","","0",",,0,30,+","22.4",",,0,25,","35.0",",0,19,","","","","","46.2",",0","67.9",",,,0","","","0",",,,0","18.72",",0","26.03",",,,0","11.41",",,,0","","","","","","","","","","","",""
"USW00023043","1913-10","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","2.8",",0","3",",0","2",",0","0",",0","","","0",",0","0",",0","2",",0","0",",0","19",",0","0",",0","","","","","","","-5.0",",0,27,","","","0",",,0,31,+","14.5",",,0,01,","28.9",",0,14,","","","","","131.8",",0","21.6",",,,0","","","0",",,,0","14.17",",0","21.67",",,,0","6.67",",,,0","","","","","","","","","","","",""
"USW00023043","1913-11","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","0.0","2,0","6","2,0","2","2,0","0","2,0","","","0","2,0","0","2,0","6","2,0","0","2,0","8","2,0","0","2,0","","","","","","","-3.3","2,0,05,","","","0","2,,0,30,+","18.3","2,,0,17,","25.6","2,0,06,","","","","","216.9","2,0","24.4","2,,,0","","","0","2,,,0","10.59","2,0","17.46","2,,,0","3.71","2,,,0","","","","","","","","","","","",""
"USW00023043","1913-12","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","0.0",",0","6",",0","1",",0","0",",0","","","1",",0","0",",0","26",",0","0",",0","0",",0","0",",0","","","","","","","-9.4",",0,22,","","","127",",,0,16,","15.5",",,0,16,","15.6",",0,31,+","","","","","481.9",",0","22.3",",,,0","","","137",",,,0","2.79",",0","8.86",",,,0","-3.28",",,,0","","","","","","","","","","","",""
"USW00023043","1914-01","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0",",0","1",",0","0",",0","0",",0","","","0",",0","0",",0","17",",0","0",",0","8",",0","0",",0","","","","","","","-9.4",",0,30,","","","15",",,0,29,","1.0",",,0,29,","26.7",",0,26,","","","","","311.1",",0","1.0",",,,0","","","15",",,,0","8.30",",0","16.95",",,,0","-0.36",",,,0","","","","","","","","","","","",""
"USW00023043","1914-02","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0",",0","2",",0","1",",0","0",",0","","","0",",0","0",",0","23",",0","0",",0","2",",0","0",",0","","","","","","","-13.3",",0,07,","","","10",",,0,27,","2.5",",,0,27,","24.4",",0,21,","","","","","348.0",",0","2.8",",,,0","","","10",",,,0","5.90",",0","15.31",",,,0","-3.51",",,,0","","","","","","","","","","","",""
"USW00023043","1914-03","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0",",0","2",",0","1",",0","0",",0","","","0",",0","0",",0","16",",0","1",",0","17",",0","0",",0","","","","","","","-7.8",",0,22,","","","10",",,0,21,","2.5",",,0,21,","26.1",",0,15,","","","","","274.1",",0","3.5",",,,0","","","15",",,,0","9.49",",0","18.78",",,,0","0.20",",,,0","","","","","","","","","","","",""
"USW00023043","1914-04","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","8.5","0","8.5",",0","5",",0","3",",0","0",",0","","","1",",0","0",",0","4",",0","0",",0","22",",0","0",",0","","","","","","","-0.6",",0,13,+","","","74",",,0,08,","13.5",",,0,30,","30.6",",0,21,+","","","","","119.0",",0","29.1",",,,0","","","74",",,,0","14.65",",0","22.90",",,,0","6.40",",,,0","","","","","","","","","","","",""
"USW00023043","1914-05","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","64.1","0","55.6",",0","7",",0","5",",0","2",",0","","","0",",0","0",",0","0",",0","0",",0","28",",0","2",",0","","","","","","","8.9",",0,15,+","","","0",",,0,31,+","34.0",",,0,31,","32.2",",0,26,+","","","","","21.7",",0","95.8",",,,0","","","0",",,,0","19.43",",0","25.70",",,,0","13.16",",,,0","","","","","","","","","","","",""
"USW00023043","1914-06","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","234.1","0","170.0","1,0","7","1,0","3","1,0","0","1,0","","","0","1,0","0","1,0","0","1,0","0","1,0","29","1,0","11","1,0","","","","","","","14.4","1,0,03,+","","","0","1,,0,30,+","21.8","1,,0,02,","36.1","1,0,26,","","","","","0.0","1,0","36.8","1,,,0","","","0","1,,,0","24.20","1,0","30.79","1,,,0","17.60","1,,,0","","","","","","","","","","","",""
"USW00023043","1914-07","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","446.7","0","212.6",",0","7",",0","2",",0","1",",0","","","0",",0","0",",0","0",",0","0",",0","31",",0","20",",0","","","","","","","16.1",",0,02,","","","0",",,0,31,+","27.9",",,0,02,","34.4",",0,31,","","","0.0","0","0.0",",0","50.0",",,,0","","","0",",,,0","25.19",",0","31.70",",,,0","18.69",",,,0","","","","","","","","","","","",""
"USW00023043","1914-08","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","651.4","0","204.7",",0","7",",0","5",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","31",",0","19",",0","","","","","","","14.4",",0,15,","","","0",",,0,31,+","12.4",",,0,30,","36.1",",0,09,+","","","0.0","0","0.0",",0","33.8",",,,0","","","0",",,,0","24.94",",0","32.07",",,,0","17.80",",,,0","","","","","","","","","","","",""
"USW00023043","1914-09","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","765.9","0","114.5",",0","2",",0","0",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","30",",0","10",",0","","","","","","","6.1",",0,30,+","","","0",",,0,30,+","1.0",",,0,10,","35.0",",0,06,","","","9.7","0","9.7",",0","1.3",",,,0","","","0",",,,0","21.83",",0","29.95",",,,0","13.70",",,,0","","","","","","","","","","","",""
"USW00023043","1914-10","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","772.6","0","6.7",",0","7",",0","5",",0","2",",0","","","0",",0","0",",0","1",",0","0",",0","18",",0","0",",0","","","","","","","0.0",",0,28,","","","0",",,0,31,+","41.9",",,0,24,","30.0",",0,02,","","","130.9","0","121.2",",0","85.6",",,,0","","","0",",,,0","14.64",",0","22.49",",,,0","6.79",",,,0","","","","","","","","","","","",""
"USW00023043","1914-11","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","772.6","0","0.0",",0","4",",0","1",",0","0",",0","","","0",",0","0",",0","10",",0","0",",0","7",",0","0",",0","","","","","","","-5.0",",0,19,","","","0",",,0,30,+","4.1",",,0,25,","25.0",",0,07,","","","377.1","0","246.2",",0","7.7",",,,0","","","0",",,,0","10.13",",0","17.74",",,,0","2.51",",,,0","","","","","","","","","","","",""
"USW00023043","1914-12","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","772.6","0","0.0",",0","11",",0","7",",0","0",",0","","","2",",0","0",",0","30",",0","5",",0","0",",0","0",",0","","","","","","","-11.1",",0,14,","","","122",",,0,24,","18.3",",,0,24,","17.8",",0,18,","","","926.6","0","549.5",",0","47.9",",,,0","","","181",",,,0","0.61",",0","5.40",",,,0","-4.18",",,,0","","","","","","","","","","","",""
"USW00023043","1915-01","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0",",0","3",",0","2",",0","0",",0","","","1",",0","0",",0","30",",0","2",",0","0",",0","0",",0","","","","","","","-13.9",",0,23,","","","46",",,0,23,","5.1",",,0,30,","16.7",",0,21,+","","","1422.8","0","496.2",",0","9.7",",,,0","","","49",",,,0","2.33",",0","10.17",",,,0","-5.52",",,,0","","","","","","","","","","","",""
"USW00023043","1915-02","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0","2,0","4",",0","2",",0","0",",0","","","0",",0","0","1,0","19","1,0","0","1,0","2","1,0","0","1,0","","","","","","","-8.9","1,0,06,","","","0",",T,0,27,+","12.4",",,0,19,","22.8","1,0,17,","","","1730.6","0","307.8","1,0","24.1",",,,0","","","0",",T,,0","6.57","2,0","14.59","1,,,0","-1.44","1,,,0","","","","","","","","","","","",""
"USW00023043","1915-03","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0",",0","12",",0","6",",0","0",",0","","","2",",0","0",",0","23",",0","0",",0","5",",0","0",",0","","","","","","","-8.3",",0,09,","","","58",",,0,21,","8.9",",,0,31,","25.0",",0,24,","","","2133.8","0","403.2",",0","47.0",",,,0","","","152",",,,0","5.33",",0","12.09",",,,0","-1.44",",,,0","","","","","","","","","","","",""
"USW00023043","1915-04","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","1.1","0","1.1",",0","13",",0","6",",0","2",",0","","","0",",0","0",",0","2",",0","0",",0","20",",0","0",",0","","","","","","","-1.7",",0,02,","","","0",",,0,30,+","88.4",",,0,16,","28.3",",0,04,","","","2252.6","0","118.8",",0","153.5",",,,0","","","0",",,,0","14.41",",0","21.79",",,,0","7.04",",,,0","","","","","","","","","","","",""
"USW00023043","1915-05","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","38.6","0","37.5","1,0","5",",0","2",",0","0",",0","","","0",",0","0",",0","0",",0","0","1,0","27","1,0","5","1,0","","","","","","","1.7",",0,07,","","","0",",,0,31,+","23.6",",,0,23,","33.9","1,0,14,","","","2290.9","0","38.3","1,0","30.0",",,,0","","","0",",,,0","18.26","1,0","26.85","1,,,0","9.67",",,,0","","","","","","","","","","","",""
"USW00023043","1915-06","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","209.4","0","170.8",",0","4",",0","0",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","29",",0","20",",0","","","","","","","7.8",",0,08,","","","0",",,0,30,+","1.5",",,0,23,+","38.9",",0,20,","","","2296.5","0","5.6",",0","3.6",",,,0","","","0",",,,0","23.84",",0","32.62",",,,0","15.06",",,,0","","","","","","","","","","","",""
"USW00023043","1915-07","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","425.0","0","215.6",",0","9",",0","3",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","31",",0","18",",0","","","","","","","15.6",",0,04,","","","0",",,0,31,+","3.3",",,0,20,","38.9",",0,11,+","","","0.0","0","0.0",",0","11.5",",,,0","","","0",",,,0","25.29",",0","32.19",",,,0","18.39",",,,0","","","","","","","","","","","",""
"USW00023043","1915-08","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","581.2","0","156.2",",0","10",",0","4",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","31",",0","9",",0","","","","","","","8.9",",0,31,","","","0",",,0,31,+","13.2",",,0,23,","35.0",",0,13,+","","","1.1","0","1.1",",0","44.3",",,,0","","","0",",,,0","23.34",",0","30.41",",,,0","16.26",",,,0","","","","","","","","","","","",""
"USW00023043","1915-09","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","673.3","0","92.1",",0","11",",0","4",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","26",",0","8",",0","","","","","","","5.6",",0,29,","","","0",",,0,30,+","18.5",",,0,24,","35.6",",0,11,","","","17.4","0","16.3",",0","58.3",",,,0","","","0",",,,0","20.86",",0","28.05",",,,0","13.67",",,,0","","","","","","","","","","","",""
"USW00023043","1915-10","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","677.2","0","3.9",",0","3",",0","0",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","","","","","","","1.7",",0,26,","","","0",",,0,31,+","2.3",",,0,05,","31.1",",0,02,","","","107.9","0","90.5",",0","3.1",",,,0","","","0",",,,0","15.54",",0","24.80",",,,0","6.27",",,,0","","","","","","","","","","","",""
"USW00023043","1915-11","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","677.2","0","0.0",",0","0",",0","0",",0","0",",0","","","0",",0","0",",0","14",",0","0",",0","15",",0","0",",0","","","","","","","-7.8",",0,29,","","","0",",T,0,25,","0.0",",T,0,25,+","28.3",",0,05,","","","355.6","0","247.7",",0","0.0",",T,,0","","","0",",T,,0","10.08",",0","19.87",",,,0","0.28",",,,0","","","","","","","","","","","",""
"USW00023043","1915-12","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","677.2","0","0.0",",0","4",",0","2",",0","0",",0","","","1",",0","0",",0","22",",0","1",",0","3",",0","0",",0","","","","","","","-17.2",",0,28,","","","30",",,0,27,","19.6",",,0,06,","21.1",",0,26,+","","","749.8","0","394.2",",0","25.2",",,,0","","","38",",,,0","5.62",",0","13.44",",,,0","-2.21",",,,0","","","","","","","","","","","",""
"USW00023043","1916-01","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0","1,0","5",",0","1",",0","0",",0","","","0",",0","0",",0","19",",0","1","1,0","4","1,0","0","1,0","","","","","","","-10.6",",0,17,","","","10",",,0,17,","9.7",",,0,20,","25.0","1,0,09,","","","1121.8","0","372.0","1,0","11.3",",,,0","","","10",",,,0","5.79","1,0","12.82","1,,,0","-1.25",",,,0","","","","","","","","","","","",""
"USW00023043","1916-02","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0",",0","0",",0","0",",0","0",",0","","","0",",0","0",",0","12",",0","1",",0","9",",0","0",",0","","","","","","","-11.1",",0,02,","","","0",",,0,29,+","0.0",",T,0,28,","26.7",",0,11,","","","1389.8","0","268.0",",0","0.0",",T,,0","","","0",",,,0","9.09",",0","18.47",",,,0","-0.29",",,,0","","","","","","","","","","","",""
"USW00023043","1916-03","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","3.0","0","3.0",",0","3",",0","1",",0","0",",0","","","0",",0","0",",0","3",",0","0",",0","18",",0","0",",0","","","","","","","-2.8",",0,03,","","","0",",T,0,31,","11.9",",,0,23,","30.6",",0,12,","","","1535.0","0","145.2",",0","14.7",",,,0","","","0",",T,,0","13.75",",0","22.25",",,,0","5.25",",,,0","","","","","","","","","","","",""
"USW00023043","1916-04","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","7.5","0","4.5",",0","5",",0","3",",0","0",",0","","","0",",0","0",",0","2",",0","0",",0","19",",0","0",",0","","","","","","","-3.9",",0,08,","","","0",",,0,30,+","9.9",",,0,26,","30.0",",0,29,","","","1669.1","0","134.1",",0","27.7",",,,0","","","0",",,,0","14.01",",0","22.44",",,,0","5.58",",,,0","","","","","","","","","","","",""
"USW00023043","1916-05","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","107.5","0","100.0",",0","1",",0","1",",0","0",",0","","","0",",0","0",",0","1",",0","0",",0","28",",0","16",",0","","","","","","","0.0",",0,02,","","","0",",,0,31,+","4.3",",,0,01,","37.2",",0,09,","","","1710.5","0","41.4",",0","4.3",",,,0","","","0",",,,0","20.22",",0","29.25",",,,0","11.20",",,,0","","","","","","","","","","","",""
"USW00023043","1916-06","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","321.6","0","214.1","1,0","1",",0","1",",0","0",",0","","","0",",0","0","1,0","0","1,0","0",",0","30",",0","27",",0","","","","","","","12.8","1,0,02,","","","0",",,0,30,+","11.2",",,0,12,","37.8",",0,26,+","","","1710.5","0","0.0",",0","11.2",",,,0","","","0",",,,0","25.70","1,0","34.76",",,,0","16.64","1,,,0","","","","","","","","","","","",""
"USW00023043","1916-07","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","542.4","0","220.8",",0","8",",0","2",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","31",",0","20",",0","","","","","","","15.6",",0,23,","","","0",",,0,31,+","17.3",",,0,06,","37.8",",0,03,","","","0.0","0","0.0",",0","26.5",",,,0","","","0",",,,0","25.46",",0","32.60",",,,0","18.32",",,,0","","","","","","","","","","","",""
"USW00023043","1916-08","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","689.7","0","147.3","1,0","11",",0","8",",0","4",",0","","","0",",0","0","1,0","0","1,0","0","1,0","30","1,0","8","1,0","","","","","","","14.4","1,0,31,+","","","0",",,0,31,+","116.1",",,0,09,","33.9","1,0,14,","","","0.0","0","0.0","1,0","242.9",",,,0","","","0",",,,0","23.24","1,0","29.17","1,,,0","17.31","1,,,0","","","","","","","","","","","",""
"USW00023043","1916-09","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","763.7","0","74.0",",0","3",",0","1",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","28",",0","0",",0","","","","","","","5.0",",0,30,+","","","0",",,0,30,+","7.6",",,0,12,","31.7",",0,26,+","","","21.1","0","21.1",",0","9.4",",,,0","","","0",",,,0","20.10",",0","27.65",",,,0","12.54",",,,0","","","","","","","","","","","",""
"USW00023043","1916-10","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","770.7","0","7.0",",0","7",",0","5",",0","0",",0","","","0",",0","0",",0","3",",0","0",",0","18",",0","0",",0","","","","","","","-1.1",",0,29,","","","0",",,0,31,+","19.3",",,0,13,+","31.1",",0,02,","","","158.0","0","136.9",",0","58.8",",,,0","","","0",",,,0","14.14",",0","22.28",",,,0","6.00",",,,0","","","","","","","","","","","",""
"USW00023043","1916-12","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","","","0.0",",0","2",",0","1",",0","0",",0","","","0",",0","0",",0","26",",0","0",",0","3",",0","0",",0","","","","","","","-11.7",",0,21,+","","","0",",T,0,30,+","7.1",",,0,30,","23.9",",0,02,","","","","","442.5",",0","9.1",",,,0","","","0",",T,,0","4.06",",0","13.10",",,,0","-4.98",",,,0","","","","","","","","","","","",""
"USW00023043","1917-01","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0",",0","3",",0","1",",0","0",",0","","","1",",0","0",",0","25",",0","4",",0","2",",0","0",",0","","","","","","","-8.3",",0,16,+","","","48",",,0,14,","3.8",",,0,14,","22.8",",0,30,","","","","","448.5",",0","4.9",",,,0","","","59",",,,0","3.86",",0","11.33",",,,0","-3.60",",,,0","","","","","","","","","","","",""
"USW00023043","1917-02","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0","1,0","3","1,0","1","1,0","0","1,0","","","1","1,0","0","1,0","22","1,0","0","1,0","3","1,0","0","1,0","","","","","","","-12.8","1,0,01,","","","38","1,,0,15,","4.3","1,,0,15,","28.3","1,0,25,","","","","","323.4","1,0","6.6","1,,,0","","","38","1,,,0","6.35","1,0","15.14","1,,,0","-2.43","1,,,0","","","","","","","","","","","",""
"USW00023043","1917-03","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.6","0","0.6",",0","1",",0","1",",0","0",",0","","","1",",0","0",",0","16",",0","0",",0","15",",0","0",",0","","","","","","","-7.2",",0,04,","","","58",",,0,03,","7.4",",,0,03,","28.9",",0,30,","","","","","283.9",",0","7.4",",,,0","","","58",",,,0","9.19",",0","18.69",",,,0","-0.31",",,,0","","","","","","","","","","","",""
"USW00023043","1917-04","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","6.2","0","5.6",",0","0",",0","0",",0","0",",0","","","0",",0","0",",0","4",",0","0",",0","21",",0","0",",0","","","","","","","-2.2",",0,05,","","","0",",,0,30,+","0.0",",,0,30,+","30.6",",0,26,","","","","","138.3",",0","0.0",",,,0","","","0",",,,0","13.91",",0","23.07",",,,0","4.75",",,,0","","","","","","","","","","","",""
"USW00023043","1917-05","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","31.0","0","24.8","2,0","7","1,0","4","1,0","0","1,0","","","0","1,0","0","2,0","2","2,0","0","1,0","24","1,0","0","1,0","","","","","","","-2.2","2,0,07,","","","0","1,T,0,06,","9.9","1,,0,10,","31.1","1,0,16,","","","","","70.3","1,0","24.7","1,,,0","","","0","1,T,,0","16.69","2,0","24.33","1,,,0","9.04","2,,,0","","","","","","","","","","","",""
"USW00023043","1917-06","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","195.9","0","164.9",",0","0",",0","0",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","30",",0","21",",0","","","","","","","7.2",",0,02,","","","0",",,0,30,+","0.0",",T,0,28,+","38.9",",0,12,","","","","","1.4",",0","0.0",",T,,0","","","0",",,,0","23.78",",0","32.89",",,,0","14.68",",,,0","","","","","","","","","","","",""
"USW00023043","1917-07","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","462.4","0","266.5",",0","3",",0","0",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","","","","","16.7",",0,03,","","","0",",,0,31,+","0.8",",,0,20,+","38.9",",0,14,","","","0.0","0","0.0",",0","1.9",",,,0","","","0",",,,0","26.93",",0","34.64",",,,0","19.22",",,,0","","","","","","","","","","","",""
"USW00023043","1917-08","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","662.0","0","199.6",",0","10",",0","7",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","31",",0","16",",0","","","","","","","12.2",",0,30,","","","0",",,0,31,+","23.6",",,0,18,","37.8",",0,11,+","","","0.0","0","0.0",",0","82.5",",,,0","","","0",",,,0","24.77",",0","31.88",",,,0","17.66",",,,0","","","","","","","","","","","",""
"USW00023043","1917-09","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","760.5","0","98.5",",0","6",",0","2",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","30",",0","7",",0","","","","","","","5.0",",0,27,","","","0",",,0,30,+","15.7",",,0,16,","35.6",",0,07,","","","5.8","0","5.8",",0","28.2",",,,0","","","0",",,,0","21.42",",0","28.64",",,,0","14.20",",,,0","","","","","","","","","","","",""
