"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA006112340","1961-09","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","191.2","C","58.7",",C","6",",C","4",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","21",",C","0",",C","1.1",",C,17,","","","0",",,C,30,+","23.1",",,C,01,","31.7",",C,11,","118.2","C","66.0",",C","47.3",",,,C","0",",,,C","18.09",",C","23.88",",,,C","12.30",",,,C"
"CA006112340","1961-10","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","191.2","C","0.0",",C","9",",C","3",",C","0",",C","","","0",",C","0",",C","8",",C","0",",C","12",",C","0",",C","-3.3",",C,04,","","","0",",,C,31,+","7.6",",,C,26,","25.6",",C,07,","353.4","C","235.2",",C","21.0",",,,C","0",",,,C","10.75",",C","16.74",",,,C","4.75",",,,C"
"CA006112340","1961-11","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","191.2","C","0.0",",C","12",",C","5",",C","0",",C","","","1",",C","0",",C","20",",C","5",",C","1",",C","0",",C","-15.6",",C,10,","","","191",",,C,08,","20.3",",,C,23,","23.9",",C,03,","841.7","C","488.3",",C","71.0",",,,C","201",",,,C","2.06",",C","6.39",",,,C","-2.28",",,,C"
"CA006112340","1961-12","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","191.2","C","0.0",",C","10",",C","6",",C","0",",C","","","3",",C","3",",C","28",",C","17",",C","0",",C","0",",C","-21.1",",C,23,+","","","38",",,C,08,","7.6",",,C,04,","12.8",",C,04,","1525.4","C","683.7",",C","27.4",",,,C","130",",,,C","-3.72",",C","-0.45",",,,C","-7.00",",,,C"
"CA006112340","1962-01","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","0.0","C","0.0",",C","16",",C","11",",C","0",",C","","","11",",C","7",",C","31",",C","24",",C","0",",C","0",",C","-26.1",",C,18,","","","127",",,C,27,","12.7",",,C,27,","3.3",",C,25,","2368.4","C","843.0",",C","77.2",",,,C","750",",,,C","-8.86",",C","-4.85",",,,C","-12.87",",,,C"
"CA006112340","1962-02","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","0.0","C","0.0",",C","12",",C","9",",C","0",",C","","","8",",C","11",",C","28",",C","23",",C","0",",C","0",",C","-35.0",",C,02,","","","203",",,C,13,","20.3",",,C,13,","9.4",",C,04,","3182.2","C","813.8",",C","77.6",",,,C","738",",,,C","-10.73",",C","-4.98",",,,C","-16.49",",,,C"
"CA006112340","1962-03","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","0.0","C","0.0",",C","1",",C","1",",C","0",",C","","","0",",C","5",",C","29",",C","4",",C","0",",C","0",",C","-32.8",",C,02,","","","0",",T,C,12,","12.2",",,C,13,","17.8",",C,29,","3851.6","C","669.4",",C","12.2",",,,C","0",",T,,C","-3.26",",C","2.01",",,,C","-8.54",",,,C"
"CA006112340","1962-04","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","6.7","C","6.7",",C","11",",C","6",",C","0",",C","","","0",",C","0",",C","16",",C","1",",C","6",",C","0",",C","-8.9",",C,17,","","","8",",,C,14,","7.6",",,C,13,","29.4",",C,27,","4221.8","C","370.2",",C","31.8",",,,C","8",",,,C","6.22",",C","11.99",",,,C","0.45",",,,C"
"CA006112340","1962-05","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","47.1","C","40.4",",C","8",",C","3",",C","0",",C","","","0",",C","0",",C","3",",C","0",",C","15",",C","2",",C","-5.6",",C,10,","","","0",",T,C,08,","15.0",",,C,23,","32.8",",C,18,+","4360.2","C","138.4",",C","30.9",",,,C","0",",T,,C","15.17",",C","22.01",",,,C","8.34",",,,C"
"CA006112340","1962-06","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","68.7","C","21.6",",C","15",",C","8",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","24",",C","1",",C","0.6",",C,03,","","","0",",,C,30,+","13.0",",,C,30,","32.2",",C,29,","4418.9","C","58.7",",C","53.7",",,,C","0",",,,C","17.10",",C","23.75",",,,C","10.44",",,,C"
"CA006112340","1962-07","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","98.4","C","29.7",",C","9",",C","6",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","27",",C","2",",C","2.8",",C,03,","","","0",",,C,31,+","19.6",",,C,23,","33.9",",C,08,","35.1","C","35.1",",C","48.8",",,,C","0",",,,C","18.16",",C","25.08",",,,C","11.25",",,,C"
"CA006112340","1962-08","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","149.5","C","51.1",",C","8",",C","5",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","28",",C","2",",C","4.4",",C,15,","","","0",",,C,31,+","11.2",",,C,04,","32.8",",C,30,","60.9","C","25.8",",C","32.6",",,,C","0",",,,C","19.15",",C","25.95",",,,C","12.35",",,,C"
"CA006112340","1962-09","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","166.7","C","17.2",",C","16",",C","9",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","13",",C","1",",C","2.2",",C,24,+","","","0",",,C,30,+","22.1",",,C,28,","32.8",",C,13,","214.7","C","153.8",",C","90.3",",,,C","0",",,,C","13.78",",C","18.71",",,,C","8.85",",,,C"
"CA006112340","1962-10","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","167.0","C","0.3",",C","18",",C","6",",C","0",",C","","","1",",C","0",",C","7",",C","0",",C","5",",C","0",",C","-7.8",",C,29,","","","64",",,C,24,","21.8",",,C,20,","25.6",",C,16,","500.3","C","285.6",",C","88.3",",,,C","80",",,,C","9.13",",C","13.91",",,,C","4.35",",,,C"
"CA006112340","1962-11","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","167.0","C","0.0",",C","7",",C","5",",C","1",",C","","","2",",C","0",",C","25",",C","0",",C","0",",C","0",",C","-11.1",",C,19,","","","64",",,C,23,","34.5",",,C,10,","14.4",",C,29,","1005.8","C","505.5",",C","74.3",",,,C","128",",,,C","1.48",",C","6.07",",,,C","-3.10",",,,C"
"CA006112340","1962-12","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","167.0","C","0.0",",C","16",",C","11",",C","0",",C","","","8",",C","7",",C","30",",C","17",",C","0",",C","0",",C","-26.7",",C,31,","","","114",",,C,29,","22.4",",,C,06,","12.2",",C,03,+","1750.6","C","744.8",",C","74.3",",,,C","466",",,,C","-5.69",",C","-1.57",",,,C","-9.81",",,,C"
"CA006112340","1963-01","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","0.0","C","0.0",",C","13",",C","5",",C","0",",C","","","5",",C","13",",C","31",",C","27",",C","0",",C","0",",C","-25.0",",C,31,","","","152",",,C,19,","15.2",",,C,19,","2.8",",C,09,","2638.3","C","887.7",",C","46.1",",,,C","461",",,,C","-10.30",",C","-6.52",",,,C","-14.08",",,,C"
"CA006112340","1963-02","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","0.0","C","0.0",",C","10",",C","3",",C","0",",C","","","3",",C","14",",C","28",",C","23",",C","0",",C","0",",C","-31.1",",C,16,","","","51",",,C,11,+","5.1",",,C,11,+","3.9",",C,18,","3484.2","C","845.9",",C","18.8",",,,C","182",",,,C","-11.88",",C","-6.50",",,,C","-17.25",",,,C"
"CA006112340","1963-03","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","0.0","C","0.0",",C","11",",C","4",",C","0",",C","","","3",",C","2",",C","26",",C","12",",C","0",",C","0",",C","-23.9",",C,01,","","","102",",,C,20,","16.0",",,C,26,","18.3",",C,30,","4118.1","C","633.9",",C","40.1",",,,C","212",",,,C","-2.11",",C","3.19",",,,C","-7.42",",,,C"
"CA006112340","1963-04","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","0.0","C","0.0",",C","7",",C","5",",C","0",",C","","","1",",C","0",",C","21",",C","0",",C","1",",C","0",",C","-7.8",",C,08,","","","76",",,C,23,","16.3",",,C,18,","24.4",",C,02,","4516.0","C","397.9",",C","52.9",",,,C","76",",,,C","5.07",",C","11.37",",,,C","-1.24",",,,C"
"CA006112340","1963-05","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","0.0","C","0.0",",C","13",",C","8",",C","0",",C","","","0",",C","0",",C","7",",C","0",",C","7",",C","0",",C","-4.4",",C,24,","","","0",",T,C,23,","20.3",",,C,10,","26.1",",C,31,","4768.3","C","252.3",",C","81.0",",,,C","0",",T,,C","10.19",",C","16.69",",,,C","3.70",",,,C"
