"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BLM00085315","2002-01","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","27","4,S","22","4,S","","","","","41.0","4,S,30,","","","34.41","4,,,S","",""
"BLM00085315","2002-02","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","22","5,S","7","5,S","","","","","34.1","5,S,11,","","","29.33","5,,,S","",""
"BLM00085315","2002-04","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","5,S","0","5,S","","","","","","","14.0","5,S,01,","","","","","","","","","17.45","5,,,S"
"BLM00085315","2002-08","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","3,S","0","3,S","","","","","","","0.8","3,S,03,","","","","","","","","","12.81","3,,,S"
"BLM00085315","2003-11","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","3,S","27","3,S","19","3,S","","","","","41.3","3,S,23,+","","","34.87","3,,,S","",""
"BLM00085315","2004-02","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","24","5,S","12","5,S","","","","","35.8","5,S,28,","","","31.46","5,,,S","",""
"BLM00085315","2004-03","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","3,S","28","3,S","12","3,S","","","","","38.5","3,S,01,","","","30.95","3,,,S","",""
"BLM00085315","2004-06","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","3,S","2","3,S","","","","","","","-1.0","3,S,13,","","","","","","","","","10.44","3,,,S"
"BLM00085315","2004-07","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","5,S","1","5,S","","","","","","","0.0","5,S,20,","","","","","","","","","9.77","5,,,S"
"BLM00085315","2004-10","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","2,S","28","2,S","15","2,S","","","","","38.0","2,S,16,+","","","31.70","2,,,S","",""
"BLM00085315","2005-02","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","24","4,S","7","4,S","","","","","35.4","4,S,07,","","","31.23","4,,,S","",""
"BLM00085315","2005-03","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","25","5,S","12","5,S","","","","","35.4","5,S,28,","","","30.59","5,,,S","",""
"BLM00085315","2005-07","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","4,S","1","4,S","","","","","","","0.0","4,S,20,","","","","","","","","","8.14","4,,,S"
"BLM00085315","2005-09","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","4,S","0","4,S","","","","","","","4.0","4,S,03,","","","","","","","","","11.04","4,,,S"
"BLM00085315","2005-11","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","5,S","0","5,S","","","","","","","14.0","5,S,27,","","","","","","","","","18.71","5,,,S"
"BLM00085315","2006-06","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","5,S","0","5,S","","","","","","","9.8","5,S,20,","","","","","","","","","14.04","5,,,S"
"BLM00085315","2006-10","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","3,S","28","3,S","14","3,S","","","","","38.0","3,S,02,","","","32.29","3,,,S","",""
"BLM00085315","2006-11","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","2,S","28","2,S","14","2,S","","","","","39.8","2,S,26,","","","31.74","2,,,S","",""
"BLM00085315","2007-07","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","23","5,S","4","5,S","","","","","34.4","5,S,21,","","","25.82","5,,,S","",""
"BLM00085315","2007-09","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","25","4,S","15","4,S","","","","","38.8","4,S,10,+","","","32.33","4,,,S","",""
"BLM00085315","2008-09","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","23","4,S","10","4,S","","","","","38.6","4,S,02,","","","29.71","4,,,S","",""
"BLM00085315","2008-11","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","24","5,S","15","5,S","","","","","39.1","5,S,28,","","","32.59","5,,,S","",""
"BLM00085315","2009-07","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","3,S","21","3,S","1","3,S","","","","","35.5","3,S,21,","","","24.06","3,,,S","",""
"BLM00085315","2009-08","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","25","4,S","10","4,S","","","","","37.1","4,S,31,","","","28.78","4,,,S","",""
"BLM00085315","2009-11","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","2,S","28","2,S","22","2,S","","","","","41.8","2,S,01,","","","35.16","2,,,S","",""
"BLM00085315","2009-12","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","26","5,S","13","5,S","","","","","36.0","5,S,28,","","","31.49","5,,,S","",""
"BLM00085315","2010-01","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","27","4,S","9","4,S","","","","","36.0","4,S,29,","","","31.06","4,,,S","",""
"BLM00085315","2010-02","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","24","4,S","15","4,S","","","","","38.1","4,S,06,","","","32.28","4,,,S","",""
"BLM00085315","2010-03","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","26","5,S","11","5,S","","","","","36.7","5,S,21,","","","31.71","5,,,S","",""
"BLM00085315","2010-05","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","17","5,S","2","5,S","","","","","33.0","5,S,06,","","","23.24","5,,,S","",""
"BLM00085315","2011-01","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","27","4,S","12","4,S","","","","","37.4","4,S,16,","","","31.19","4,,,S","",""
"BLM00085315","2011-10","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","26","4,S","18","4,S","","","","","39.4","4,S,28,+","","","33.05","4,,,S","",""
"BLM00085315","2011-11","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","26","4,S","24","4,S","","","","","40.8","4,S,28,","","","36.28","4,,,S","",""
"BLM00085315","2012-02","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","3,S","26","3,S","6","3,S","","","","","35.5","3,S,08,","","","30.18","3,,,S","",""
"BLM00085315","2012-03","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","3,S","28","3,S","10","3,S","","","","","36.9","3,S,21,","","","30.32","3,,,S","",""
"BLM00085315","2012-05","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","21","5,S","0","5,S","","","","","31.7","5,S,29,","","","25.21","5,,,S","",""
"BLM00085315","2012-06","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","1,S","18","1,S","2","1,S","","","","","32.4","1,S,14,","","","23.43","1,,,S","",""
"BLM00085315","2012-07","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","20","5,S","1","5,S","","","","","32.6","5,S,01,","","","23.70","5,,,S","",""
"BLM00085315","2012-09","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","25","5,S","12","5,S","","","","","39.6","5,S,18,","","","32.48","5,,,S","",""
"BLM00085315","2012-10","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","2,S","29","2,S","21","2,S","","","","","43.1","2,S,22,","","","34.94","2,,,S","",""
"BLM00085315","2012-12","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","27","4,S","16","4,S","","","","","37.3","4,S,25,","","","32.23","4,,,S","",""
