"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"GLW00017611","1962-04","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","0","1,X","0","1,X","0","1,X","30",",X","1",",X","18",",X","30",",X","29",",X","0",",X","0",",X","10","","","","-25.6",",X,07,","152",",,X,30,+","173",",,X,30,","0.0","1,T,X,29,+","0.6",",X,28,","9466.6","X","992.8",",X","0.0","1,T,,X","173",",,,X","-14.76",",X","-11.45",",,,X","-18.07",",,,X","68",",X","20.6",",X"
"GLW00017611","1962-05","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","2",",X","0",",X","0",",X","31",",X","0",",X","0",",X","31",",X","27",",X","0",",X","0",",X","19","","","","-17.2",",X,13,","254",",,X,28,+","10",",,X,12,","1.0",",,X,12,","5.6",",X,30,","10292.4","X","825.8",",X","1.5",",,,X","15",",,,X","-8.30",",X","-5.25",",,,X","-11.36",",,,X","45",",X","29.3",",X"
"GLW00017611","1962-06","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","0",",X","0",",X","0",",X","9",",X","0",",X","0",",X","15",",X","0",",X","0",",X","0",",X","7","","","","-6.1",",X,02,","127",",,X,05,+","0",",T,X,29,+","0.0",",T,X,29,+","7.8",",X,13,","10783.6","X","491.2",",X","0.0",",T,,X","0",",T,,X","1.96",",X","4.45",",,,X","-0.53",",,,X","113",",X","22.6",",X"
"GLW00017611","1962-07","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","7",",X","0",",X","0",",X","0",",X","7","","","","-1.7",",X,05,","0",",T,X,06,+","18",",,X,05,","1.8",",,X,05,","11.1",",X,16,","414.0","X","414.0",",X","1.8",",,,X","18",",,,X","4.98",",X","7.00",",,,X","2.95",",,,X","113",",X","30.3",",X"
"GLW00017611","1962-08","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","7",",X","3",",X","0",",X","15",",X","3",",X","0",",X","17",",X","14",",X","0",",X","0",",X","14","","","","-10.0",",X,23,+","127",",,X,21,+","89",",,X,17,","8.9",",,X,17,","10.0",",X,04,","976.3","X","562.3",",X","18.6",",,,X","176",",,,X","0.20",",X","2.16",",,,X","-1.77",",,,X","135",",X","37.5",",X"
"GLW00017611","1962-09","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","7",",X","3",",X","0",",X","30",",X","3",",X","1",",X","30",",X","24",",X","0",",X","0",",X","14","","","","-17.8",",X,15,","127",",,X,10,","48",",,X,09,","4.8",",,X,09,","2.8",",X,03,+","1758.8","X","782.5",",X","15.3",",,,X","153",",,,X","-7.75",",X","-5.47",",,,X","-10.04",",,,X","158",",X","32.4",",X"
"GLW00017611","1962-10","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","10",",X","5",",X","0",",X","31",",X","5",",X","1",",X","31",",X","31",",X","0",",X","0",",X","18","","","","-17.8",",X,06,","356",",,X,31,+","74",",,X,11,","7.4",",,X,11,","-5.6",",X,13,","2687.5","X","928.7",",X","30.3",",,,X","303",",,,X","-11.63",",X","-9.39",",,,X","-13.86",",,,X","135",",X","15.9",",X"
"GLW00017611","1962-11","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","11",",X","1",",X","0",",X","30",",X","1",",X","16",",X","30",",X","30",",X","0",",X","0",",X","19","","","","-26.7",",X,30,","483",",,X,21,+","33",",,X,14,","3.3",",,X,14,","-6.7",",X,27,","3712.2","X","1024.7",",X","13.0",",,,X","130",",,,X","-15.82",",X","-12.81",",,,X","-18.84",",,,X","135",",X","29.8",",X"
"GLW00017611","1962-12","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","7",",X","0",",X","0",",X","31",",X","0",",X","27",",X","31",",X","31",",X","0",",X","0",",X","9","","","","-28.9",",X,22,","254",",,X,28,+","10",",,X,30,+","1.0",",,X,30,+","-3.3",",X,27,","4871.9","X","1159.7",",X","3.7",",,,X","37",",,,X","-19.08",",X","-15.55",",,,X","-22.60",",,,X","158",",X","36.0",",X"
"GLW00017611","1963-01","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","9",",X","3",",X","0",",X","31",",X","3",",X","28",",X","31",",X","31",",X","0",",X","0",",X","5","","","","-32.2",",X,05,","203",",,X,01,","203",",,X,13,","20.3",",,X,13,","-1.7",",X,13,","6025.0","X","1153.1",",X","31.9",",,,X","319",",,,X","-18.86",",X","-14.37",",,,X","-23.35",",,,X","135",",X","36.5",",X"
"GLW00017611","1963-02","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","4",",X","1",",X","0",",X","28",",X","1",",X","18",",X","28",",X","28",",X","0",",X","0",",X","6","","","","-28.9",",X,28,","127",",,X,14,+","33",",,X,11,","3.3",",,X,11,","-2.8",",X,04,","7013.3","X","988.3",",X","4.9",",,,X","49",",,,X","-16.96",",X","-13.48",",,,X","-20.45",",,,X","180",",X","31.4",",X"
"GLW00017611","1963-03","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","6",",X","0",",X","0",",X","31",",X","0",",X","29",",X","31",",X","31",",X","0",",X","0",",X","14","","","","-36.1",",X,25,+","76",",,X,31,+","8",",,X,13,","0.8",",,X,13,","-5.0",",X,30,","8322.0","X","1308.7",",X","2.5",",,,X","25",",,,X","-23.88",",X","-19.94",",,,X","-27.83",",,,X","68",",X","35.0",",X"
"GLW00017611","1963-04","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","3",",X","0",",X","0",",X","30",",X","0",",X","21",",X","30",",X","30",",X","0",",X","0",",X","5","","","","-35.6",",X,02,","76",",,X,03,+","5",",,X,04,","0.5",",,X,04,","-2.2",",X,14,","9386.9","X","1064.9",",X","1.1",",,,X","11",",,,X","-17.17",",X","-13.88",",,,X","-20.45",",,,X","113","1,X","23.1","1,X"
"GLW00017611","1963-05","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","6",",X","5",",X","0",",X","31",",X","5",",X","0",",X","31",",X","30",",X","0",",X","0",",X","16","","","","-16.7",",X,04,","127",",,X,30,","94",",,X,30,","9.4",",,X,30,","1.1",",X,09,","10221.4","X","834.5",",X","22.0",",,,X","220",",,,X","-8.59",",X","-5.91",",,,X","-11.26",",,,X","135","3,X","21.6","3,X"
"GLW00017611","1963-06","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","3",",X","0",",X","0",",X","30",",X","0",",X","0",",X","26",",X","10",",X","0",",X","0",",X","11","","","","-5.6",",X,08,+","51",",,X,01,","5",",,X,29,+","0.8",",,X,27,","8.3",",X,13,","10784.7","X","563.3",",X","1.8",",,,X","15",",,,X","-0.44",",X","1.77",",,,X","-2.66",",,,X","113",",X","23.1",",X"
"GLW00017611","1963-07","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","12",",X","1",",X","0",",X","0",",X","12","","","","-3.3",",X,03,","0",",T,X,16,+","10",",,X,07,","1.0",",,X,07,","10.0",",X,24,","464.9","X","464.9",",X","1.3",",,,X","13",",,,X","3.34",",X","5.31",",,,X","1.36",",,,X","135",",X","24.7",",X"
