"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00298289","1931-11","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","0.0",",6","3",",6","0",",6","0",",6","","","1",",6","29",",6","2",",6","7",",6","0",",6","-17.8",",6,24,","","","1.3",",,6,22,+","25.6",",6,03,","","","641.9","6","439.5",",6","3.1",",,,6","","","3.68",",6","13.30",",,,6","-5.94",",,,6","3199",",,,6"
"USC00298289","1931-12","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","0.0",",6","0",",6","0",",6","0",",6","","","0",",6","30",",6","0",",6","0",",6","0",",6","-15.6",",6,14,+","","","0.0",",T,6,10,","18.3",",6,25,","","","1163.1","6","521.2",",6","0.0",",T,,6","","","1.52",",6","10.92",",,,6","-7.87",",,,6","4423",",,,6"
"USC00298289","1932-01","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","0.0","6","0.0",",6","3",",6","1",",6","0",",6","","","2",",6","31",",6","7",",6","0",",6","0",",6","-18.3",",6,29,+","","","3.0",",,6,04,","18.3",",6,19,","","","1798.4","6","635.3",",6","5.8",",,,6","","","-2.16",",6","6.31",",,,6","-10.64",",,,6","4521",",,,6"
"USC00298289","1932-02","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","0.0","6","0.0","1,6","1",",6","1",",6","0",",6","","","0","1,6","22","1,6","0",",6","3",",6","0",",6","-16.7","1,6,04,","","","8.6",",,6,20,","23.3",",6,28,","","","2157.2","6","358.8",",6","8.6",",,,6","","","5.46","1,6","14.69",",,,6","-3.76","1,,,6","5903",",,,6"
"USC00298289","1932-03","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","0.0","6","0.0",",6","2",",6","1",",6","0",",6","","","2",",6","28",",6","4",",6","2",",6","0",",6","-22.2",",6,12,","","","3.0",",,6,12,","22.2",",6,19,","","","2629.2","6","472.0",",6","3.3",",,,6","","","3.11",",6","12.83",",,,6","-6.61",",,,6","5778",",,,6"
"USC00298289","1932-04","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","0.0","6","0.0",",6","3",",6","3",",6","0",",6","","","0",",6","17",",6","0",",6","18",",6","0",",6","-8.3",",6,11,","","","20.3",",,6,27,","26.7",",6,05,","","","2876.5","6","247.3",",6","27.1",",,,6","","","10.09",",6","20.44",",,,6","-0.26",",,,6","6938",",,,6"
"USC00298289","1932-05","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","0.0","6","0.0",",6","5",",6","4",",6","0",",6","","","0",",6","1",",6","0",",6","26",",6","0",",6","-1.1",",6,06,","","","20.3",",,6,19,","27.8",",6,18,+","","","2994.3","6","117.8",",6","58.4",",,,6","","","14.53",",6","23.95",",,,6","5.12",",,,6","6998",",,,6"
"USC00298289","1932-06","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","10.5","6","10.5","1,6","7",",6","3",",6","1",",6","","","0","1,6","0","1,6","0","1,6","28","1,6","0","1,6","3.3","1,6,06,","","","32.3",",,6,04,","28.9","1,6,30,+","","","3041.8","6","47.5","1,6","55.2",",,,6","","","17.06","1,6","25.95","1,,,6","8.17","1,,,6","",""
"USC00298289","1932-07","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","81.3","6","70.8",",6","9",",6","6",",6","1",",6","","","0",",6","0",",6","0",",6","31",",6","4",",6","10.0",",6,09,+","","","26.9",",,6,11,","33.3",",6,20,","","","1.1","6","1.1",",6","84.6",",,,6","","","20.58",",6","29.23",",,,6","11.93",",,,6","2201",",,,6"
"USC00298289","1932-08","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","169.9","6","88.6",",6","10",",6","6",",6","0",",6","","","0",",6","0",",6","0",",6","31",",6","4",",6","6.7",",6,31,","","","22.1",",,6,16,","33.3",",6,11,+","","","4.4","6","3.3",",6","50.5",",,,6","","","21.08",",6","29.82",",,,6","12.35",",,,6","4877",",,,6"
