"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00425815","1939-09","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","","","","","","","","","0",",6","","","","","","","","","","","","","","","0",",,6,30,+","","","","","","","","","","","","","0",",,,6","","","","","","","",""
"USC00425815","1939-10","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","0.0","1,6","5",",6","5",",6","0",",6","","","1",",6","0","1,6","28","1,6","0",",6","0",",6","0",",6","-6.7","1,6,27,","","","178",",,6,04,","20.3",",,6,04,","16.7",",6,16,","","","","","394.4",",6","39.8",",,,6","178",",,,6","5.13","1,6","12.15",",,,6","-1.88","1,,,6","",""
"USC00425815","1939-11","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","0.0",",6","1",",6","0",",6","0",",6","","","0",",6","0",",6","30",",6","0",",6","0",",6","0",",6","-12.2",",6,30,","","","0",",T,6,27,+","2.3",",,6,27,","12.2",",6,01,","","","","","492.3",",6","2.3",",,,6","0",",T,,6","1.92",",6","9.37",",,,6","-5.53",",,,6","",""
"USC00425815","1939-12","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","0.0",",6","2",",6","2",",6","0",",6","","","2",",6","5",",6","31",",6","8",",6","0",",6","0",",6","-23.9",",6,28,","","","178",",,6,24,","4.3",",,6,24,","12.8",",6,03,","","","","","638.5",",6","7.6",",,,6","254",",,,6","-2.26",",6","5.39",",,,6","-9.92",",,,6","",""
"USC00425815","1940-01","40.56173","-110.49252","2476.5","MOON LAKE, UT US","0.0","6","0.0",",6","8",",6","5",",6","0",",6","","","8",",6","12",",6","31",",6","17",",6","0",",6","0",",6","-28.9",",6,19,","","","127",",,6,12,","8.6",",,6,12,","13.9",",6,29,","","","","","797.1",",6","29.7",",,,6","520",",,,6","-7.38",",6","-0.15",",,,6","-14.61",",,,6","",""
"USC00425815","1940-02","40.56173","-110.49252","2476.5","MOON LAKE, UT US","0.0","6","0.0",",6","9",",6","6",",6","0",",6","","","9",",6","8",",6","29",",6","14",",6","0",",6","0",",6","-25.0",",6,13,","","","140",",,6,02,","13.2",",,6,02,","8.3",",6,01,","","","","","708.9",",6","37.0",",,,6","572",",,,6","-6.11",",6","1.03",",,,6","-13.26",",,,6","",""
"USC00425815","1940-03","40.56173","-110.49252","2476.5","MOON LAKE, UT US","0.0","6","0.0",",6","6",",6","3",",6","0",",6","","","5",",6","0",",6","31",",6","2",",6","0",",6","0",",6","-17.2",",6,12,","","","229",",,6,11,","9.7",",,6,11,","13.3",",6,22,","","","","","608.1",",6","25.5",",,,6","406",",,,6","-1.28",",6","5.98",",,,6","-8.55",",,,6","",""
"USC00425815","1940-04","40.56173","-110.49252","2476.5","MOON LAKE, UT US","0.0","6","0.0",",6","8",",6","4",",6","0",",6","","","3",",6","0",",6","30",",6","0",",6","0",",6","0",",6","-10.0",",6,30,","","","89",",,6,02,","8.6",",,6,02,","17.8",",6,14,","","","","","469.3",",6","23.9",",,,6","165",",,,6","2.69",",6","10.47",",,,6","-5.09",",,,6","",""
"USC00425815","1940-05","40.56173","-110.49252","2476.5","MOON LAKE, UT US","0.0","6","0.0",",6","7",",6","1",",6","0",",6","","","0",",6","0",",6","12",",6","0",",6","7",",6","0",",6","-10.0",",6,01,","","","0",",,6,31,+","3.0",",,6,27,","23.9",",6,31,","","","","","269.0",",6","6.9",",,,6","0",",,,6","9.66",",6","18.76",",,,6","0.55",",,,6","",""
"USC00425815","1940-06","40.56173","-110.49252","2476.5","MOON LAKE, UT US","10.2","6","10.2",",6","2",",6","2",",6","0",",6","","","","","0",",6","4",",6","0",",6","21",",6","0",",6","-2.2",",6,09,","","","","","9.7",",,6,30,","31.1",",6,17,","","","","","96.3",",6","12.5",",,,6","","","15.46",",6","24.61",",,,6","6.31",",,,6","",""
"USC00425815","1940-07","40.56173","-110.49252","2476.5","MOON LAKE, UT US","37.5","6","27.3",",6","4",",6","1",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","29",",6","0",",6","3.9",",6,03,","","","0",",,6,31,+","8.6",",,6,18,","31.7",",6,23,","","","35.4","6","35.4",",6","12.4",",,,6","0",",,,6","18.07",",6","27.07",",,,6","9.07",",,,6","",""
"USC00425815","1940-08","40.56173","-110.49252","2476.5","MOON LAKE, UT US","55.5","6","18.0","1,6","10",",6","3",",6","0",",6","","","","","0","1,6","0","1,6","0",",6","27",",6","0",",6","1.7","1,6,27,","","","","","11.7",",,6,24,","30.6",",6,13,","","","98.0","6","62.6",",6","28.7",",,,6","","","16.82","1,6","25.19",",,,6","8.44","1,,,6","",""
"USC00425815","1940-09","40.56173","-110.49252","2476.5","MOON LAKE, UT US","55.5","6","0.0","1,6","21",",6","17",",6","1",",6","","","0",",6","0","1,6","0","1,6","0","1,6","4","1,6","0","1,6","0.6","1,6,30,","","","0",",,6,30,+","26.2",",,6,28,","26.1","1,6,01,","","","324.3","6","226.3","1,6","167.3",",,,6","0",",,,6","10.53","1,6","16.85","1,,,6","4.21","1,,,6","",""
"USC00425815","1940-10","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","5",",6","3",",6","0",",6","","","1",",6","0",",6","27",",6","","","","","","","-11.1",",6,31,","","","178",",,6,27,","14.5",",,6,27,","","","","","","","","","29.0",",,,6","178",",,,6","","","","","-2.53",",,,6","",""
"USC00425815","1940-11","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","7",",6","5",",6","0",",6","","","7",",6","","","","","","","","","","","","","","","102",",,6,22,","7.1",",,6,04,","","","","","","","","","28.5",",,,6","495",",,,6","","","","","","","",""
"USC00425815","1940-12","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","0.0",",6","8",",6","7",",6","0",",6","","","8",",6","4",",6","31",",6","15",",6","0",",6","0",",6","-26.1",",6,15,","","","114",",,6,27,+","6.9",",,6,29,","11.7",",6,08,","","","","","764.7",",6","36.1",",,,6","635",",,,6","-6.33",",6","0.16",",,,6","-12.83",",,,6","",""
"USC00425815","1941-01","40.56173","-110.49252","2476.5","MOON LAKE, UT US","0.0","6","0.0",",6","5",",6","3",",6","0",",6","","","5",",6","7",",6","31",",6","19",",6","0",",6","0",",6","-25.6",",6,04,","","","127",",,6,24,+","5.8",",,6,22,","6.1",",6,11,","","","","","807.7",",6","15.7",",,,6","406",",,,6","-7.72",",6","-1.16",",,,6","-14.28",",,,6","",""
"USC00425815","1941-02","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","9",",6","3",",6","0",",6","","","6",",6","4",",6","28",",6","","","","","","","-21.1",",6,04,","","","89",",,6,24,","3.6",",,6,24,","","","","","","","","","16.8",",,,6","331",",,,6","","","","","-12.10",",,,6","",""
"USC00425815","1941-03","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","0.0",",6","11",",6","5",",6","0",",6","","","7",",6","5",",6","31",",6","5",",6","0",",6","0",",6","-19.4",",6,12,","","","279",",,6,02,","19.3",",,6,02,","10.6",",6,18,","","","","","678.8",",6","56.9",",,,6","761",",,,6","-3.56",",6","3.32",",,,6","-10.45",",,,6","",""
"USC00425815","1941-04","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","0.0",",6","10",",6","8",",6","1",",6","","","8",",6","1",",6","30",",6","3",",6","0",",6","0",",6","-17.8",",6,18,","","","279",",,6,05,","26.2",",,6,05,","10.6",",6,23,","","","","","577.3",",6","97.1",",,,6","988",",,,6","-0.91",",6","5.58",",,,6","-7.40",",,,6","",""
"USC00425815","1941-05","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","0.0",",6","10",",6","4",",6","0",",6","","","0",",6","0",",6","13",",6","0",",6","1",",6","0",",6","-3.3",",6,19,","","","0",",T,6,19,","8.6",",,6,24,","24.4",",6,12,","","","","","326.7",",6","39.3",",,,6","0",",T,,6","7.79",",6","14.48",",,,6","1.11",",,,6","",""
"USC00425815","1941-06","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","0.0",",6","8",",6","7",",6","1",",6","","","1",",6","0",",6","7",",6","0",",6","8",",6","0",",6","-1.7",",6,06,","","","25",",,6,09,","36.8",",,6,07,","24.4",",6,22,+","","","","","244.6",",6","80.2",",,,6","51",",,,6","10.18",",6","17.20",",,,6","3.16",",,,6","",""
"USC00425815","1941-07","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","2.2",",6","8",",6","3",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","24",",6","0",",6","1.7",",6,02,","","","0",",,6,31,+","16.8",",,6,19,","28.3",",6,23,","","","106.3","6","106.3",",6","42.3",",,,6","0",",,,6","14.97",",6","22.69",",,,6","7.26",",,,6","",""
"USC00425815","1941-08","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","0.6",",6","13",",6","5",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","24",",6","0",",6","2.2",",6,21,","","","0",",,6,31,+","18.0",",,6,09,","27.2",",6,04,","1607.7",",,,6","218.3","6","112.0",",6","56.2",",,,6","0",",,,6","14.74",",6","21.90",",,,6","7.57",",,,6","3023",",,,6"
"USC00425815","1941-09","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","0.0","3,6","5",",6","4",",6","1",",6","","","","","0","3,6","14","3,6","0","1,6","2","1,6","0","1,6","-3.9","3,6,28,+","","","","","26.9",",,6,22,","22.8","1,6,05,","","","506.1","6","287.8","1,6","54.6",",,,6","","","7.85","3,6","15.08","1,,,6","0.63","3,,,6","",""
"USC00425815","1941-10","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","0.0",",6","","","","","","","","","4",",6","0",",6","26",",6","0",",6","0",",6","0",",6","-8.3",",6,31,","","","318",",,6,28,","","","16.1",",6,01,","","","957.1","6","451.0",",6","","","585",",,,6","3.78",",6","9.66",",,,6","-2.09",",,,6","",""
"USC00425815","1941-11","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","0.0",",6","3",",6","2",",6","0",",6","","","2",",6","1",",6","30",",6","6",",6","0",",6","0",",6","-17.8",",6,20,","","","216",",,6,02,","24.9",",,6,17,","15.0",",6,15,","","","1523.2","6","566.1",",6","36.9",",,,6","432",",,,6","-0.54",",6","5.82",",,,6","-6.90",",,,6","",""
"USC00425815","1941-12","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","0.0",",6","12",",6","8",",6","0",",6","","","11",",6","3",",6","31",",6","18",",6","0",",6","0",",6","-20.6",",6,27,","","","254",",,6,30,","12.2",",,6,04,","6.1",",6,02,","","","2279.8","6","756.6",",6","59.7",",,,6","1091",",,,6","-6.07",",6","-0.52",",,,6","-11.62",",,,6","",""
"USC00425815","1942-01","40.56173","-110.49252","2476.5","MOON LAKE, UT US","0.0","6","0.0",",6","5",",6","2",",6","0",",6","","","5",",6","11",",6","31",",6","16",",6","0",",6","0",",6","-36.7",",6,04,","","","152",",,6,08,","8.1",",,6,08,","6.1",",6,12,","","","3120.2","6","840.4",",6","17.8",",,,6","393",",,,6","-8.78",",6","-1.15",",,,6","-16.40",",,,6","",""
"USC00425815","1942-02","40.56173","-110.49252","2476.5","MOON LAKE, UT US","0.0","6","0.0",",6","9",",6","5",",6","0",",6","","","8",",6","18",",6","28",",6","26",",6","0",",6","0",",6","-34.4",",6,18,","","","267",",,6,22,","11.4",",,6,22,","1.7",",6,07,","","","3968.4","6","848.2",",6","35.3",",,,6","660",",,,6","-11.96",",6","-4.95",",,,6","-18.97",",,,6","",""
"USC00425815","1942-03","40.56173","-110.49252","2476.5","MOON LAKE, UT US","0.0","6","0.0",",6","7",",6","5",",6","0",",6","","","4",",6","9",",6","31",",6","12",",6","0",",6","0",",6","-23.9",",6,27,","","","114",",,6,25,","7.6",",,6,25,","7.8",",6,31,","","","4737.1","6","768.7",",6","27.6",",,,6","305",",,,6","-6.46",",6","1.17",",,,6","-14.10",",,,6","",""
"USC00425815","1942-04","40.56173","-110.49252","2476.5","MOON LAKE, UT US","0.0","6","0.0",",6","","","","","","","","","2",",6","0",",6","28",",6","1",",6","0",",6","0",",6","-11.1",",6,27,","","","89",",,6,28,","","","15.6",",6,21,","","","5216.4","6","479.3",",6","","","166",",,,6","2.36",",6","8.38",",,,6","-3.67",",,,6","",""
"USC00425815","1942-05","40.56173","-110.49252","2476.5","MOON LAKE, UT US","0.0","6","0.0",",6","4",",6","3",",6","0",",6","","","0",",6","0",",6","21",",6","0",",6","1",",6","0",",6","-7.8",",6,03,","","","0",",T,6,16,+","5.8",",,6,22,+","21.7",",6,25,","","","5617.5","6","401.1",",6","17.7",",,,6","0",",T,,6","5.39",",6","12.40",",,,6","-1.62",",,,6","",""
"USC00425815","1942-06","40.56173","-110.49252","2476.5","MOON LAKE, UT US","0.0","6","0.0",",6","1",",6","0",",6","0",",6","","","0",",6","0",",6","2",",6","0",",6","10",",6","0",",6","-2.8",",6,28,","","","0",",,6,30,+","0.8",",,6,12,","25.0",",6,23,","","","5809.2","6","191.7",",6","0.8",",,,6","0",",,,6","11.94",",6","19.93",",,,6","3.96",",,,6","",""
