"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00415721","1944-04","26.565","-98.1236","67.1","MCCOOK, TX US","415.8","0","192.8",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","14",",0","2","","","","6.7",",0,04,","0",",,0,30,+","0",",,0,30,+","5.1",",,0,02,","39.4",",0,22,","","","367.9","0","2.8",",0","","","","","8.6",",,,0","0",",,,0","24.67",",0","32.02",",,,0","17.31",",,,0","",""
"USC00415721","1944-05","26.565","-98.1236","67.1","MCCOOK, TX US","657.2","0","241.4",",0","7",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","21",",0","1","","2","","10.6",",0,06,","0",",,0,31,+","0",",,0,31,+","105.2",",,0,28,","40.6",",0,22,","","","367.9","0","0.0",",0","","","","","157.0",",,,0","0",",,,0","26.12",",0","32.60",",,,0","19.64",",,,0","",""
"USC00415721","1944-06","26.565","-98.1236","67.1","MCCOOK, TX US","954.9","0","297.7",",0","6",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","28",",0","1","","1","","21.1",",0,28,+","0",",,0,30,+","0",",,0,30,+","35.6",",,0,06,","36.1",",0,27,","","","367.9","0","0.0",",0","","","","","101.4",",,,0","0",",,,0","28.26",",0","33.63",",,,0","22.88",",,,0","",""
"USC00415721","1944-07","26.565","-98.1236","67.1","MCCOOK, TX US","1311.8","0","356.9",",0","3",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","29",",0","","","","","20.6",",0,04,","0",",,0,31,+","0",",,0,31,+","5.3",",,0,06,","40.0",",0,29,","","","0.0","0","0.0",",0","","","","","14.2",",,,0","0",",,,0","29.85",",0","36.56",",,,0","23.14",",,,0","",""
"USC00415721","1944-08","26.565","-98.1236","67.1","MCCOOK, TX US","1664.5","0","352.7",",0","6",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","26",",0","","","","","21.1",",0,31,","0",",,0,31,+","0",",,0,31,+","44.5",",,0,31,","38.9",",0,17,+","","","0.0","0","0.0",",0","","","","","144.4",",,,0","0",",,,0","29.71",",0","35.63",",,,0","23.79",",,,0","",""
"USC00415721","1944-09","26.565","-98.1236","67.1","MCCOOK, TX US","1928.5","0","264.0",",0","8",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","25",",0","4","","","","15.6",",0,14,","0",",,0,30,+","0",",,0,30,+","58.9",",,0,16,","35.0",",0,22,+","","","0.0","0","0.0",",0","","","","","87.8",",,,0","0",",,,0","27.13",",0","32.90",",,,0","21.37",",,,0","",""
"USC00415721","1944-10","26.565","-98.1236","67.1","MCCOOK, TX US","2062.2","0","133.7","1,0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","8",",0","1","","1","","7.8","1,0,13,","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,26,+","34.4",",0,06,","","","0.5","0","0.5",",0","","","","","0.0",",T,,0","0",",,,0","22.78","1,0","30.74",",,,0","14.82","1,,,0","",""
"USC00415721","1944-11","26.565","-98.1236","67.1","MCCOOK, TX US","2146.9","0","84.7",",0","9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","20",",0","1",",0","3","","","","0.6",",0,30,","0",",,0,30,+","0",",,0,30,+","10.2",",,0,03,","32.2",",0,08,","","","54.4","0","53.9",",0","","","","","21.1",",,,0","0",",,,0","19.36",",0","24.92",",,,0","13.79",",,,0","",""
"USC00415721","1944-12","26.565","-98.1236","67.1","MCCOOK, TX US","2161.4","0","14.5",",0","8",",0","5",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","21",",0","0",",0","1","","","","-1.7",",0,11,","0",",,0,31,+","0",",,0,31,+","6.1",",,0,01,","28.9",",0,25,","","","180.0","0","125.6",",0","","","","","22.3",",,,0","0",",,,0","14.75",",0","21.38",",,,0","8.12",",,,0","",""
"USC00415721","1945-01","26.565","-98.1236","67.1","MCCOOK, TX US","14.5","0","14.5",",0","9",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","22",",0","0",",0","1","","","","1.1",",0,01,","0",",,0,31,+","0",",,0,31,+","34.8",",,0,14,","27.2",",0,27,","","","258.0","0","78.0",",0","","","","","53.8",",,,0","0",",,,0","16.29",",0","21.63",",,,0","10.94",",,,0","",""
