"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BR037041370","1962-01","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","14",",I","12",",I","1",",I","","","","","","","29.2",",,I,09,","127.4",",,,I","",""
"BR037041370","1962-02","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","14",",I","10",",I","2",",I","","","","","","","42.1",",,I,22,","175.9",",,,I","",""
"BR037041370","1962-03","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","25",",I","22",",I","3",",I","","","","","","","41.0",",,I,23,","306.0",",,,I","",""
"BR037041370","1962-04","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","17",",I","10",",I","1",",I","","","","","","","52.3",",,I,03,","143.7",",,,I","",""
"BR037041370","1962-05","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","6",",I","2",",I","1",",I","","","","","","","26.0",",,I,03,","48.1",",,,I","",""
"BR037041370","1962-06","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","5",",I","5",",I","1",",I","","","","","","","62.0",",,I,15,","116.5",",,,I","",""
"BR037041370","1962-07","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","2",",I","1",",I","0",",I","","","","","","","4.0",",,I,06,","5.1",",,,I","",""
"BR037041370","1962-08","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","0.0",",,I,31,+","0.0",",,,I","",""
"BR037041370","1962-09","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","1",",I","0",",I","0",",I","","","","","","","1.2",",,I,02,","1.2",",,,I","",""
"BR037041370","1962-10","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","1",",I","1",",I","0",",I","","","","","","","8.4",",,I,07,","8.5",",,,I","",""
"BR037041370","1962-11","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","9",",I","7",",I","1",",I","","","","","","","82.3",",,I,24,","130.9",",,,I","",""
"BR037041370","1962-12","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","17",",I","11",",I","4",",I","","","","","","","68.3",",,I,22,","264.5",",,,I","",""
